,fino,int1,int2,grueso,solidos,velocidad,potencia,cu,sentidogiro,relacionfinogrueso,relacionfecu,alimreal
216,45.65,23.71,21.02,9.13,73.85,8.79,20000.89,0.55,0.0,2.596933187294633,5.763636363636363,4153.86
219,44.02,23.53,22.38,10.7,74.07,8.76,20198.18,0.54,0.0,2.199065420560748,5.833333333333333,4189.070000000001
221,41.59,23.71,23.74,11.03,73.92,8.77,20302.75,0.57,0.0,2.14959202175884,5.5964912280701755,4210.029999999999
222,42.81,23.58,23.5,11.34,74.1,8.8,20426.69,0.54,0.0,2.079365079365079,5.777777777777778,4187.37
223,41.23,23.57,22.7,11.97,74.02,8.75,20211.83,0.55,0.0,1.9690893901420217,5.781818181818181,4222.759999999999
224,43.96,23.55,22.71,10.36,73.89,8.75,20286.07,0.51,0.0,2.2731660231660236,6.196078431372549,4212.58
225,41.72,23.54,22.83,11.6,74.28,8.84,20483.0,0.54,0.0,2.029310344827586,6.0,4211.61
226,42.16,23.78,22.13,11.06,73.91,8.75,20383.22,0.56,0.0,2.150090415913201,5.803571428571428,4205.0199999999995
227,40.48,23.31,24.2,11.23,73.82,8.84,20615.98,0.52,0.0,2.075690115761353,6.269230769230768,4159.59
228,43.72,23.65,23.11,10.67,73.87,8.99,21045.71,0.53,0.0,2.2164948453608244,6.301886792452829,4196.7300000000005
229,40.12,22.87,23.57,12.19,74.01,8.94,21196.01,0.51,0.0,1.8761279737489747,6.352941176470589,4170.12
230,41.68,23.17,23.56,11.77,73.82,9.06,21443.42,0.51,0.0,1.9685641461342398,6.490196078431373,4167.23
231,39.58,22.67,24.6,13.6,74.07,9.06,21674.95,0.49,0.0,1.6669117647058824,6.653061224489796,4194.579999999999
232,38.08,22.41,25.35,13.74,74.06,9.1,21738.6,0.48,0.0,1.6310043668122272,6.6875,4164.620000000001
233,37.12,22.27,25.1,14.53,74.01,9.19,22176.7,0.46,0.0,1.5326909841706813,7.17391304347826,4139.46
234,39.31,22.47,24.5,14.35,73.49,9.19,22328.43,0.44,0.0,1.5658536585365854,7.431818181818182,4147.66
235,40.94,22.91,23.61,12.96,73.46,9.1,22088.36,0.42,0.0,1.7677469135802468,7.880952380952381,4156.34
236,38.33,23.43,23.1,13.1,73.8,9.2,22225.0,0.41,0.0,1.7885496183206107,8.073170731707318,4173.83
237,40.52,23.12,24.64,10.89,73.84,9.14,21946.87,0.4,0.0,2.123048668503214,8.325,4169.68
238,42.27,23.32,23.63,11.9,74.06,9.1,21859.49,0.42,0.0,1.9596638655462184,7.904761904761905,4154.73
239,42.24,23.26,23.7,10.89,73.92,9.2,21856.32,0.41,0.0,2.1359044995408634,8.390243902439025,4186.25
240,44.29,23.42,22.13,11.29,74.45,9.05,21468.87,0.4,0.0,2.0744021257750225,8.575,4201.52
241,44.78,22.92,22.15,10.84,74.9,8.94,21061.82,0.39,0.0,2.114391143911439,8.666666666666666,4215.51
242,43.52,23.4,20.84,10.86,74.92,8.8,20418.38,0.37,0.0,2.154696132596685,9.054054054054054,4237.52
243,45.48,23.78,20.62,9.7,74.74,8.95,20811.38,0.38,0.0,2.4515463917525775,9.078947368421053,4203.110000000001
244,46.31,23.44,20.77,9.19,75.14,8.95,20856.14,0.38,0.0,2.5505984766050056,8.947368421052632,4169.59
245,47.65,23.56,21.39,8.58,74.77,8.79,20284.92,0.36,0.0,2.7459207459207455,9.361111111111112,4184.29
246,46.6,23.38,22.06,9.27,75.1,8.81,20370.06,0.38,0.0,2.522114347357066,8.81578947368421,4182.089999999999
247,45.71,23.44,20.85,9.04,75.03,8.85,20504.55,0.41,0.0,2.592920353982301,8.048780487804878,4164.76
248,47.04,23.54,21.21,8.53,74.94,8.82,20347.96,0.4,0.0,2.7596717467760845,8.325,4201.38
249,47.3,23.59,21.41,8.47,75.26,8.84,20669.88,0.4,0.0,2.7851239669421486,8.325,4159.28
250,44.83,23.66,21.64,8.4,75.13,8.94,21094.51,0.41,0.0,2.8166666666666664,8.048780487804878,4155.96
251,46.02,23.2,22.26,10.18,75.13,9.04,21362.88,0.4,0.0,2.2789783889980355,8.375,4116.710000000001
252,46.52,23.16,21.4,10.03,74.9,8.99,21193.83,0.41,0.0,2.309072781655035,8.341463414634147,4169.280000000001
253,44.83,23.58,21.07,9.74,74.82,8.94,21043.8,0.39,0.0,2.4209445585215605,8.846153846153847,4206.320000000001
254,47.88,23.6,21.43,8.62,74.88,9.0,21242.34,0.39,0.0,2.7378190255220423,8.897435897435898,4161.58
255,44.38,23.42,22.31,10.4,74.95,8.85,20586.84,0.4,0.0,2.251923076923077,9.0,4154.2300000000005
256,43.46,23.7,22.94,10.02,74.9,8.94,20837.86,0.4,0.0,2.3652694610778444,8.924999999999999,4219.07
257,42.46,22.96,23.28,10.24,75.0,8.75,20271.49,0.39,0.0,2.2421875,9.282051282051283,4237.1
258,42.93,23.17,22.87,12.61,75.04,8.9,20560.7,0.38,0.0,1.837430610626487,9.605263157894736,4200.43
259,42.61,23.3,22.48,12.09,75.09,8.85,20774.81,0.41,0.0,1.9272125723738627,8.78048780487805,4252.34
260,42.34,22.93,23.93,11.06,74.97,8.94,20998.41,0.39,0.0,2.073236889692586,9.128205128205128,4228.700000000001
261,43.62,22.55,23.12,11.8,75.03,9.0,20899.85,0.42,0.0,1.9110169491525424,8.785714285714286,4206.740000000001
287,42.27,23.45,22.62,11.22,75.12,8.69,20835.15,0.39,0.0,2.090017825311943,8.692307692307692,3851.71
290,42.57,23.4,22.17,9.51,75.83,8.89,20745.34,0.46,0.0,2.4605678233438484,7.521739130434782,3905.13
291,43.65,23.51,22.06,10.93,76.09,8.8,20578.04,0.47,0.0,2.15096065873742,7.1489361702127665,4216.43
292,44.12,23.5,21.52,10.7,76.06,8.94,21060.16,0.45,0.0,2.196261682242991,7.5777777777777775,4156.01
