TRATAMIENTO;FRD;D80;LEYSN;LEYS;LEYFE;RECUPERACION;RATIOSNS;RATIOSNS;RATIOFRDD80
2507.80;44.62;102.90;0.87;0.34;6.10;72.27;2.56;0.14;2.31
2507.30;50.24;103.63;0.93;0.35;6.35;66.70;2.66;0.15;2.06
2508.50;50.90;112.81;0.93;0.25;6.38;57.65;3.72;0.15;2.22
2508.00;50.71;114.54;0.91;0.32;6.49;54.92;2.84;0.14;2.26
2508.00;48.56;121.61;0.91;0.28;6.39;56.85;3.25;0.14;2.50
2466.00;49.18;123.17;0.88;0.30;6.46;57.71;2.93;0.14;2.50
1447.00;48.02;125.04;0.90;0.35;6.44;40.36;;;
2496.01;49.22;115.61;0.94;0.36;6.34;71.75;2.61;0.15;2.35
2508.30;51.09;107.44;1.09;0.47;6.42;62.41;2.32;0.17;2.10
2507.80;48.66;118.54;0.90;0.37;6.15;65.47;2.43;0.15;2.44
2508.00;50.75;111.92;0.92;0.31;6.50;60.62;2.97;0.14;2.21
2508.00;49.60;101.43;0.89;0.29;6.22;63.66;3.07;0.14;2.05
2508.00;50.19;96.86;0.86;0.29;6.10;62.20;2.97;0.14;1.93
2455.40;46.38;103.53;0.87;0.28;6.21;60.54;3.11;0.14;2.23
2507.90;54.48;97.42;0.89;0.31;6.32;66.97;2.87;0.14;1.79
2502.80;57.05;93.12;0.86;0.31;6.41;60.35;2.77;0.13;1.63
2336.80;43.42;128.41;0.88;0.33;6.05;70.03;2.67;0.15;2.96
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
0.00;#N/D;#N/D;0.00;0.00;0.00;0.00;;;
1999.80;49.27;102.69;0.96;0.40;5.83;58.67;;;
2264.20;48.47;116.84;0.91;0.36;5.84;63.31;;;
2504.90;50.63;90.98;0.90;0.37;5.61;60.98;2.43;0.16;1.80
2428.50;48.09;94.97;0.90;0.34;5.53;64.81;2.65;0.16;1.97
2244.70;48.73;96.07;0.87;0.29;5.25;61.51;;;
2508.80;47.68;106.10;0.85;0.26;4.99;58.45;3.27;0.17;2.23
2503.50;48.27;111.34;0.90;0.29;4.95;60.33;3.10;0.18;2.31
2504.30;47.29;109.96;0.91;0.32;4.96;61.30;2.84;0.18;2.33
2507.90;45.03;127.28;0.95;0.32;4.85;66.48;2.97;0.20;2.83
2508.00;50.33;112.97;1.01;0.34;4.90;63.70;2.97;0.21;2.24
2498.30;52.90;105.70;0.91;0.30;4.81;63.86;3.03;0.19;2.00
2508.80;52.22;106.65;0.90;0.27;4.51;68.26;3.33;0.20;2.04
2462.30;52.89;101.96;0.86;0.28;4.62;65.75;3.07;0.19;1.93
2508.00;51.44;92.85;0.86;0.31;4.55;59.19;2.77;0.19;1.81
2508.00;52.80;94.69;0.85;0.26;4.84;59.57;3.27;0.18;1.79
2508.00;58.22;77.28;0.90;0.26;4.72;55.45;3.46;0.19;1.33
2508.00;51.02;109.61;0.92;0.27;4.81;57.28;3.41;0.19;2.15
2508.00;45.80;133.74;0.89;0.25;4.74;51.42;3.56;0.19;2.92
2484.50;53.78;94.98;0.87;0.27;4.95;62.81;3.22;0.18;1.77
2499.80;55.84;102.37;0.90;0.27;4.71;60.93;3.33;0.19;1.83
2508.80;50.52;110.10;0.90;0.29;4.91;56.48;3.10;0.18;2.18
2508.10;46.63;125.85;0.87;0.34;5.19;62.42;2.56;0.17;2.70
2501.10;53.46;95.58;0.90;0.32;6.13;57.53;2.81;0.15;1.79
2508.10;52.32;110.87;0.87;0.34;6.33;63.36;2.56;0.14;2.12
2478.80;54.94;111.80;0.90;0.25;6.06;55.85;3.60;0.15;2.03
2508.30;#N/D;#N/D;0.91;0.27;6.10;60.70;;;
2508.00;50.92;96.96;0.90;0.29;5.66;67.93;3.10;0.16;1.90
2508.00;51.81;93.02;0.88;0.30;5.98;71.57;2.93;0.15;1.80
2505.00;49.98;98.18;0.91;0.30;6.00;71.25;3.03;0.15;1.96
2508.00;51.23;98.66;0.93;0.28;6.37;68.47;3.32;0.15;1.93
2508.00;52.32;95.36;0.92;0.28;6.58;64.74;3.29;0.14;1.82
2508.00;50.76;98.58;0.95;0.29;7.25;62.79;3.28;0.13;1.94
